Acronym,Phonetic Form
ডি-৮,ডি-এইট
জি-৭,জি-সেভেন
টি-২০,টি-টুয়েন্টি
কপ-২৮,কপ-টুয়েন্টি এইট
জি-২০,জি-টুয়েন্টি
NATO,ন্যাটো
OIC,ওআইসি
OXFAM,অক্সফাম
SDG,এসডিজি
UN,ইউএন
UNDP,ইউএনডিপি
4G,ফোর-জি
3G,থ্রি-জি
VAT,ভ্যাট
NOC,এন ও সি
UNDP,ইউএনডিপি
UNICEF,ইউনিসেফ
WHO,ডব্লিউএইচও
IMF,আইএমএফ
WB,ডব্লিউবি
GDP,জিডিপি
GNP,জিএনপি
NGO,এনজিও
NPO,এনপিও
BGB,বিজিবি
RAB,র‍্যাব
DB,ডিবি
BSF,বিএসএফ
BSFI,বিএসএফআই
ATM,এটিএম
CD,সিডি
DVD,ডিভিডি
HIV,এইচআইভি
AIDS,এইডস
GPS,জিপিএস
HSC,এইচএসসি
SSC,এসএসসি
PSC,পিএসসি
BSC,বিএসসি
MSc,এমএসসি
PhD,পিএইচডি
USA,ইউএসএ
